isocode,country,lastupdated2022,population2020,areasqkm,densitysqkm,growthrate,world%,rank
CHN,China,1425866534,1424929781,9706961,147/sq_km,-0.00%,17.88%,1
IND,India,1419818411,1396387127,3287590,431/sq_km,0.68%,17.77%,2
USA,United States of America,338720644,335942003,9372610,36/sq_km,0.38%,4.24%,3
IDN,Indonesia,275983685,271857970,1904569,145/sq_km,0.64%,3.45%,4
PAK,Pakistan,237079200,227196741,881912,267/sq_km,1.91%,2.96%,5
NGA,Nigeria,219965257,208327405,923768,237/sq_km,2.41%,2.74%,6
BRA,Brazil,215579953,213196304,8515767,25/sq_km,0.46%,2.70%,7
BGD,Bangladesh,171670808,167420951,147570,1160/sq_km,1.08%,2.15%,8
RUS,Russia,144702863,145617329,17098242,8/sq_km,-0.27%,1.81%,9
MEX,Mexico,127765703,125998302,1964375,65/sq_km,0.63%,1.60%,10
JPN,Japan,123773724,125244761,377930,328/sq_km,-0.53%,1.55%,11
ETH,Ethiopia,124228658,117190911,1104300,112/sq_km,2.57%,1.55%,12
PHL,Philippines,116045535,112190977,342353,338/sq_km,1.47%,1.45%,13
EGY,Egypt,111457419,107465134,1002450,111/sq_km,1.58%,1.39%,14
VNM,Vietnam,98374678,96648685,331212,296/sq_km,0.74%,1.23%,16
IRN,Iran,88710722,87290193,1648195,54/sq_km,0.71%,1.11%,17
TUR,Turkey,85477206,84135428,783562,109/sq_km,0.67%,1.07%,18
DEU,Germany,83338788,83328988,357114,233/sq_km,-0.05%,1.05%,19
THA,Thailand,71727985,71475664,513120,140/sq_km,0.13%,0.90%,20
GBR,United Kingdom,67571444,67059474,242900,278/sq_km,0.34%,0.85%,21
TZA,Tanzania,66019908,61704518,945087,69/sq_km,3.00%,0.82%,22
FRA,France,64662560,64480053,551695,117/sq_km,0.15%,0.81%,23
ZAF,South Africa,60028556,58801927,1221037,49/sq_km,0.84%,0.75%,24
ITA,Italy,58992783,59500579,301336,196/sq_km,-0.34%,0.74%,25
MMR,Myanmar,54289192,53423198,676578,80/sq_km,0.71%,0.68%,26
